d,eccentricity,overlap,ARI_GMM,ARI_KMeans,gap,wilcoxon_stat,p,n_seeds,wins_GMM
2,1,0.0,1.0,1.0,0.0,,1.0,3,0
2,1,0.2,1.0,1.0,0.0,,1.0,3,0
2,1,0.4,0.9680888204046402,0.9700865278641762,-0.00199770745953598,2.0,0.75,3,1
2,1,0.6,0.8563745759664861,0.8620436224475266,-0.005669046481040496,0.0,0.25,3,0
2,1,0.8,0.5273724756511226,0.5354987539129331,-0.00812627826181056,0.0,0.25,3,0
2,3,0.0,0.9979899396422276,0.9979899396422276,0.0,,1.0,3,0
2,3,0.2,0.9939700404034087,0.9919599800456363,0.002010060357772403,0.0,1.0,3,1
2,3,0.4,0.970118045011296,0.9640708075465184,0.006047237464777533,0.0,0.25,3,3
2,3,0.6,0.8650544234060392,0.8454292988717088,0.019625124534330407,1.0,0.5,3,2
2,3,0.8,0.5436754442367824,0.5323672516333582,0.011308192603424194,1.0,0.5,3,2
2,10,0.0,0.9959920982681495,0.9959920982681495,0.0,,1.0,3,0
2,10,0.2,0.9959920982681495,0.9859907451168016,0.01000135315134787,0.0,0.5,3,2
2,10,0.4,0.9760565920932197,0.950317800402174,0.02573879169104576,0.0,0.25,3,3
2,10,0.6,0.8866919022841334,0.8066288197769861,0.08006308250714733,0.0,0.25,3,3
2,10,0.8,0.6296340995593498,0.5279116211389562,0.10172247842039361,1.0,0.5,3,2
2,30,0.0,0.9979899396422276,0.9939820379103773,0.004007901731850283,0.0,0.5,3,2
2,30,0.2,0.9959920982681495,0.9859907451168016,0.01000135315134787,0.0,0.5,3,2
2,30,0.4,0.9839987190510406,0.940656709928656,0.04334200912238462,0.0,0.25,3,3
2,30,0.6,0.9275845801858217,0.799014861729661,0.12856971845616072,0.0,0.25,3,3
2,30,0.8,0.7485603956363628,0.5235441458515,0.2250162497848628,0.0,0.25,3,3
10,1,0.0,1.0,1.0,0.0,,1.0,3,0
10,1,0.2,0.8131120887223705,0.9979899396422276,-0.1848778509198571,0.0,0.5,3,0
10,1,0.4,0.9799846467141128,0.9819826232459916,-0.001997976531878831,2.0,0.75,3,1
10,1,0.6,0.8758648930893104,0.8775915363482868,-0.0017266432589764236,3.0,1.0,3,2
10,1,0.8,0.4023796066746472,0.505839406790753,-0.10345980011610578,0.0,0.25,3,0
10,3,0.0,1.0,1.0,0.0,,1.0,3,0
10,3,0.2,1.0,1.0,0.0,,1.0,3,0
10,3,0.4,0.9919718794134855,0.9879579542843354,0.004013925129150109,0.0,0.5,3,2
10,3,0.6,0.8923443039661957,0.8849081899042351,0.0074361140619605415,1.0,0.5,3,2
10,3,0.8,0.3852763211768914,0.4708538084532634,-0.08557748727637199,1.0,0.5,3,1
10,10,0.0,1.0,1.0,0.0,,1.0,3,0
10,10,0.2,1.0,1.0,0.0,,1.0,3,0
10,10,0.4,1.0,0.9820257906016634,0.017974209398336605,0.0,0.5,3,2
10,10,0.6,0.9661117521167603,0.8737678428251959,0.09234390929156433,0.0,0.25,3,3
10,10,0.8,0.7967150078469875,0.41484868593294094,0.3818663219140465,0.0,0.25,3,3
10,30,0.0,1.0,1.0,0.0,,1.0,3,0
10,30,0.2,1.0,1.0,0.0,,1.0,3,0
10,30,0.4,1.0,0.9900233020142816,0.00997669798571843,0.0,0.5,3,2
10,30,0.6,0.9939819397712579,0.8603363413749018,0.13364559839635615,0.0,0.25,3,3
10,30,0.8,0.948628316166689,0.2222967439028453,0.7263315722638437,0.0,0.25,3,3
50,1,0.0,1.0,1.0,0.0,,1.0,3,0
50,1,0.2,0.9979899396422276,0.9979899396422276,0.0,,1.0,3,0
50,1,0.4,0.8071109074959607,0.9800027181694736,-0.1728918106735129,1.0,0.5,3,1
50,1,0.6,0.8701687383323985,0.8701971440642732,-2.8405731874681095e-05,3.0,1.0,3,1
50,1,0.8,0.31021737199321753,0.42817277777621826,-0.11795540578300073,0.0,0.25,3,0
50,3,0.0,1.0,1.0,0.0,,1.0,3,0
50,3,0.2,0.8171322094379151,1.0,-0.1828677905620849,0.0,1.0,3,0
50,3,0.4,0.7952091201893942,0.975989612088243,-0.18078049189884882,1.0,1.0,3,1
50,3,0.6,0.8792765630002196,0.8738738924548016,0.005402670545417987,1.0,0.5,3,2
50,3,0.8,0.3340089364246251,0.36874589659212664,-0.03473696016750155,2.0,0.75,3,1
50,10,0.0,0.8186270620938129,1.0,-0.18137293790618714,0.0,1.0,3,0
50,10,0.2,0.8143230701101657,0.9979899396422276,-0.1836668695320619,0.0,1.0,3,0
50,10,0.4,0.9899618435909435,0.9859793833884621,0.003982460202481386,0.0,1.0,3,1
50,10,0.6,0.8962088760386943,0.8509280249195704,0.04528085111912383,0.0,0.25,3,3
50,10,0.8,0.2700993339085898,0.29018106186667286,-0.02008172795808305,2.0,0.75,3,1
50,30,0.0,0.8153972344823517,1.0,-0.18460276551764832,0.0,1.0,3,0
50,30,0.2,0.813640339923504,0.9979899396422276,-0.18434959971872356,0.0,1.0,3,0
50,30,0.4,0.9959920982681495,0.9781468834189463,0.017845214849203206,0.0,0.5,3,2
50,30,0.6,0.7728945477168371,0.8212694780483725,-0.04837493033153539,3.0,1.0,3,2
50,30,0.8,0.48584931781289736,0.2065180569109313,0.279331260901966,1.0,0.5,3,2
