fold,F,Acc,AUC,chosen,fit_s,sel_s
1,0.9749256138833301,0.9737864077669903,0.998842928047674,K8/phi0.4/T80,71.08256316184998,231.48909783363342
2,0.9666993072065412,0.9650485436893204,0.9983900451346855,K5/phi0.4/T1,52.29307985305786,214.00214743614197
3,0.977773394712056,0.9766990291262136,0.9983166917840403,K5/phi0.4/T1,46.23643207550049,344.5507724285126
4,0.9726554062026507,0.9718446601941747,0.9977693946123928,K5/phi0.4/T1,60.05396747589111,312.9045150279999
5,0.9734125323948964,0.9737864077669903,0.9990952800487566,K8/phi0.4/T1,115.03689980506897,214.57077622413635
6,0.9839621247040028,0.983495145631068,0.9989977695884041,K5/phi0.9/T1,123.76909494400024,306.2624056339264
7,0.9818136284660132,0.9815533980582525,0.9989004807751357,K8/phi0.9/T1,129.84455251693726,184.58309602737427
8,0.9651008968293314,0.9650485436893204,0.9983572871997445,K5/phi0.4/T80,36.67191195487976,226.76894974708557
9,0.9659853647890985,0.9650485436893204,0.9986712316026788,K8/phi0.4/T80,79.43209505081177,273.5188627243042
10,0.9794808626270827,0.9786200194363459,0.9993853978549324,K8/phi0.4/T80,96.65650868415833,376.5573945045471
