fold,DDEL K5 phi0.9 T1 (current),DDEL K8 phi0.4 T1,DDEL K8 phi0.4 T80,Single LR
1,0.9722579007304023,0.9739170855177796,0.9749256138833301,0.9689946204053523
2,0.9701546353892937,0.9721406357633827,0.9728449422438034,0.969022977111074
3,0.9739499089798261,0.9764903980402391,0.9777469613553788,0.9748650812668433
4,0.9719783936255973,0.9768182148392754,0.973076550056858,0.9728903679390459
5,0.9681132828038058,0.9734125323948964,0.9754954374702685,0.9681206828576975
6,0.9839621247040028,0.9785366782410084,0.9775487044020489,0.9829389874296041
7,0.9818136284660132,0.9831929116384108,0.986045091248223,0.9818136284660132
8,0.969651551870125,0.9726211544066029,0.9723962490844125,0.970733180713523
9,0.9674399649099539,0.9650744417427924,0.9659853647890985,0.9684658525806878
10,0.9747741609335522,0.9783730287968866,0.9794808626270827,0.9756847770688045
