base,T,H_W,F,delta
homogeneous LR,1.0,0.0032124165080350806,0.9739170855177796,0.004922465112427221
homogeneous LR,5.0,0.02152895280101761,0.9739170855177796,0.004922465112427221
homogeneous LR,20.0,0.12445804341403328,0.9739170855177796,0.004922465112427221
homogeneous LR,80.0,0.39853215674236947,0.9749256138833301,0.005930993477977764
homogeneous LR,300.0,0.6030696648089523,0.9748944165995478,0.00589979619419545
homogeneous LR,1000000000.0,0.99999997740599,0.9378624577542225,-0.031132162651129835
heterogeneous,1.0,0.0032124165080350806,0.9342171529274331,-0.03477746747791921
heterogeneous,5.0,0.02152895280101761,0.9342171529274331,-0.03477746747791921
heterogeneous,20.0,0.12445804341403328,0.9362853263109957,-0.032709294094356633
heterogeneous,80.0,0.39853215674236947,0.9408151124097763,-0.028179507995576003
heterogeneous,300.0,0.6030696648089523,0.9549817027943662,-0.014012917610986109
heterogeneous,1000000000.0,0.99999997740599,0.9252555243897397,-0.043739096015612655
