method,learner,tex_mean,nb_mean,mean_chk,tex_std,nb_std,tex_max,nb_max
densitye,lr,0.973,0.973,OK,0.003,0.003,0.978,0.978
densitye,svm,0.969,0.969,OK,0.003,0.003,0.976,0.976
densitye,knn,0.958,0.958,OK,0.004,0.004,0.968,0.968
densitye,dt,0.821,0.821,OK,0.01,0.01,0.839,0.839
diste,lr,0.911,0.962,MISMATCH,0.048,0.043,0.958,0.977
diste,svm,0.904,0.959,MISMATCH,0.045,0.04,0.951,0.974
diste,knn,0.885,0.948,MISMATCH,0.037,0.031,0.929,0.966
diste,dt,0.838,0.841,MISMATCH,0.019,0.016,0.86,0.864
avge,lr,0.75,0.75,OK,0.21,0.21,0.965,0.965
avge,svm,0.897,0.897,OK,0.115,0.115,0.965,0.965
avge,knn,0.856,0.856,OK,0.118,0.118,0.951,0.951
avge,dt,0.72,0.72,OK,0.108,0.108,0.827,0.827
maxe,lr,0.508,0.508,OK,0.034,0.034,0.574,0.574
maxe,svm,0.855,0.855,OK,0.04,0.04,0.907,0.907
maxe,knn,0.722,0.722,OK,0.122,0.122,0.892,0.892
maxe,dt,0.41,0.41,OK,0.143,0.143,0.653,0.653
