model,covariance_type,d,K,n_samples,seed,ARI,mean_loglik,n_params,fit_time,converged
GMM-spherical,spherical,2,3,1000,0,0.7807213460119187,-3.6939869216816668,11,0.05266761779785156,True
GMM-diag,diag,2,3,1000,0,0.7888659508548114,-3.570039921639367,14,0.01909780502319336,True
GMM-tied,tied,2,3,1000,0,0.7869159219500028,-3.6742965915766237,11,0.061188697814941406,True
GMM-full,full,2,3,1000,0,0.9238573494029138,-3.2620771729493803,17,0.20061230659484863,True
KMeans,kmeans(reference),2,3,1000,0,0.8216597582534853,,6,0.2483830451965332,True
GMM-spherical,spherical,2,3,1000,1,0.8082392917654396,-3.746874537652014,11,0.03493499755859375,True
GMM-diag,diag,2,3,1000,1,0.8725512163653526,-3.4254549707877957,14,0.06458640098571777,True
GMM-tied,tied,2,3,1000,1,0.7363387890199589,-3.6593246242314894,11,0.12489533424377441,True
GMM-full,full,2,3,1000,1,0.9211551047077463,-3.31354061407415,17,0.21988320350646973,True
KMeans,kmeans(reference),2,3,1000,1,0.8390694153918064,,6,0.22344040870666504,True
GMM-spherical,spherical,2,3,1000,2,0.7987111055591438,-3.719629831843535,11,0.03491711616516113,True
GMM-diag,diag,2,3,1000,2,0.9134988977157783,-3.471139133794664,14,0.0313410758972168,True
GMM-tied,tied,2,3,1000,2,0.8918687900487541,-3.3642360414635473,11,0.06383943557739258,True
GMM-full,full,2,3,1000,2,0.9273481099689862,-3.279832864306657,17,0.16364502906799316,True
KMeans,kmeans(reference),2,3,1000,2,0.8373471460994961,,6,0.20299577713012695,True
GMM-spherical,spherical,10,3,1000,0,0.9089574296969151,-15.140050265663369,35,0.04456782341003418,True
GMM-diag,diag,10,3,1000,0,0.9232429116146664,-14.942001680195844,62,0.039247751235961914,True
GMM-tied,tied,10,3,1000,0,0.9004363810581244,-14.708501727532203,87,0.06099343299865723,True
GMM-full,full,10,3,1000,0,0.9554206972376781,-13.747515225594697,197,0.16876912117004395,True
KMeans,kmeans(reference),10,3,1000,0,0.9147430117439046,,30,0.2780721187591553,True
GMM-spherical,spherical,10,3,1000,1,0.889854227441655,-15.132096110779228,35,0.11099481582641602,True
GMM-diag,diag,10,3,1000,1,0.9123728312741912,-14.959508937049188,62,0.10816788673400879,True
GMM-tied,tied,10,3,1000,1,0.9295611039502994,-14.810053560116206,87,0.04747128486633301,True
GMM-full,full,10,3,1000,1,0.9969954894812434,-13.891410682645068,197,0.08564162254333496,True
KMeans,kmeans(reference),10,3,1000,1,0.8982768208985052,,30,0.22850966453552246,True
GMM-spherical,spherical,10,3,1000,2,0.8698143355584347,-15.158492203509505,35,0.036217451095581055,True
GMM-diag,diag,10,3,1000,2,0.8809635088421137,-15.037200117688197,62,0.039327383041381836,True
GMM-tied,tied,10,3,1000,2,0.929126914131628,-14.796732220702395,87,0.06591367721557617,True
GMM-full,full,10,3,1000,2,0.979058977571363,-13.89152475426984,197,0.10958242416381836,True
KMeans,kmeans(reference),10,3,1000,2,0.8893183905629622,,30,0.2723672389984131,True
GMM-spherical,spherical,50,3,1000,0,0.8249332191467561,-71.85003696590618,155,0.12559056282043457,True
GMM-diag,diag,50,3,1000,0,0.8719314332594573,-71.58936780699126,302,0.038115739822387695,True
GMM-tied,tied,50,3,1000,0,0.8558017741523709,-69.29674324803115,1427,0.3596935272216797,True
GMM-full,full,50,3,1000,0,0.9820271264426262,-64.37672429581642,3977,0.5846312046051025,True
KMeans,kmeans(reference),50,3,1000,0,0.8443448029266686,,150,0.908318042755127,True
GMM-spherical,spherical,50,3,1000,1,0.8527836662392435,-72.02590633160098,155,0.060236454010009766,True
GMM-diag,diag,50,3,1000,1,0.8692604246127299,-71.8073004086933,302,0.022554397583007812,True
GMM-tied,tied,50,3,1000,1,0.8833755363959768,-69.45261780648161,1427,0.204575777053833,True
GMM-full,full,50,3,1000,1,0.979049751465452,-64.51954253345463,3977,0.3406107425689697,True
KMeans,kmeans(reference),50,3,1000,1,0.8667360587924954,,150,0.385892391204834,True
GMM-spherical,spherical,50,3,1000,2,0.8410029129794644,-72.11720463559824,155,0.09072756767272949,True
GMM-diag,diag,50,3,1000,2,0.8525884684160184,-71.8222813306989,302,0.05625605583190918,True
GMM-tied,tied,50,3,1000,2,0.8465481993967315,-69.66218884220132,1427,0.21577739715576172,True
GMM-full,full,50,3,1000,2,0.9909955045655912,-64.5864020015113,3977,0.744997501373291,True
KMeans,kmeans(reference),50,3,1000,2,0.8526837647269375,,150,0.5683963298797607,True
GMM-spherical,spherical,157,3,1000,0,0.8632492130008688,-223.81126635372763,476,0.14957904815673828,True
