drift_point,ddel_accuracy,ddel_f_score,single_lr_accuracy,single_lr_f_score,delak_accuracy,delak_f_score
1,0.9738,0.9749,0.9689,0.9698,0.9534,0.9547
2,0.9724,0.9735,0.9645,0.9656,0.9512,0.9525
3,0.9713,0.9724,0.9589,0.9601,0.9489,0.9502
4,0.9704,0.9715,0.9512,0.9524,0.9467,0.9481
5,0.9691,0.9702,0.9423,0.9435,0.9434,0.9448
6,0.9680,0.9691,0.9345,0.9358,0.9401,0.9415
7,0.9684,0.9695,0.9267,0.9281,0.9367,0.9382
8,0.9677,0.9688,0.9189,0.9204,0.9334,0.9349
9,0.9671,0.9682,0.9112,0.9128,0.9301,0.9317
10,0.9664,0.9675,0.9034,0.9051,0.9267,0.9284
