ensemble_method,base_learner,mean_score,std_score,max_score
DensityE,lr,0.978,0.002,0.984
DensityE,svm,0.973,0.003,0.980
DensityE,knn,0.963,0.004,0.972
DensityE,dt,0.834,0.009,0.852
DistE,lr,0.963,0.042,0.978
DistE,svm,0.960,0.039,0.975
DistE,knn,0.949,0.030,0.967
DistE,dt,0.843,0.015,0.866
AvgE,lr,0.752,0.208,0.966
AvgE,svm,0.899,0.113,0.966
AvgE,knn,0.858,0.116,0.952
AvgE,dt,0.722,0.106,0.829
MaxE,lr,0.510,0.033,0.576
MaxE,svm,0.857,0.039,0.909
MaxE,knn,0.724,0.120,0.894
MaxE,dt,0.412,0.141,0.655
